"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
76128_S_1046277,0,0,0,0,0,1,0,20240521,20240621
76128_U_1025750,1,1,1,1,1,0,0,20240521,20240621
50576_D_845628,0,0,0,0,0,0,1,20240521,20240621
50576_S_974485,0,0,0,0,0,1,0,20240521,20240621
50576_U_974969,1,1,1,1,1,0,0,20240521,20240621
50793_D_942227,0,0,0,0,0,0,1,20240521,20240621
50793_S_1013752,0,0,0,0,0,1,0,20240521,20240621
50793_U_1011395,1,1,1,1,1,0,0,20240521,20240621
53071_D_1014775,0,0,0,0,0,0,1,20240521,20240621
53071_S_1021163,0,0,0,0,0,1,0,20240521,20240621
50785_U_1017862,1,1,1,1,1,0,0,20240521,20240621
50786_D_849172,0,0,0,0,0,0,1,20240521,20240621
50786_S_1021169,0,0,0,0,0,1,0,20240521,20240621
50786_U_1047111,1,1,1,1,1,0,0,20240521,20240621
61123_D_1046719,0,0,0,0,0,0,1,20240521,20240621
61123_S_848964,0,0,0,0,0,1,0,20240521,20240621
61123_U_1047112,1,1,1,1,1,0,0,20240521,20240621
51590_D_845685,0,0,0,0,0,0,1,20240521,20240621
51590_S_974499,0,0,0,0,0,1,0,20240521,20240621
51590_U_957166,1,1,1,1,1,0,0,20240521,20240621
53413_D_1021218,0,0,0,0,0,0,1,20240521,20240621
53413_S_1021166,0,0,0,0,0,1,0,20240521,20240621
53413_U_1032645,1,1,1,1,1,0,0,20240521,20240621
78524_D_1040228,0,0,0,0,0,0,1,20240521,20240621
77544_S_1040200,0,0,0,0,0,1,0,20240521,20240621
78524_U_1037308,1,1,1,1,1,0,0,20240521,20240621
56713_D_1046722,0,0,0,0,0,0,1,20240521,20240621
56713_S_1046275,0,0,0,0,0,1,0,20240521,20240621
53298_U_983834,1,1,1,1,1,0,0,20240521,20240621
53299_D_1046725,0,0,0,0,0,0,1,20240521,20240621
53299_S_1046279,0,0,0,0,0,1,0,20240521,20240621
53299_U_983829,1,1,1,1,1,0,0,20240521,20240621
53715_D_839691,0,0,0,0,0,0,1,20240521,20240621
53715_S_939317,0,0,0,0,0,1,0,20240521,20240621
53715_U_894798,1,1,1,1,1,0,0,20240521,20240621
75278_D_727064,0,0,0,0,0,0,1,20240521,20240621
75278_S_939303,0,0,0,0,0,1,0,20240521,20240621
53786_U_760735,1,1,1,1,1,0,0,20240521,20240621
53790_D_702431,0,0,0,0,0,0,1,20240521,20240621
53790_S_939305,0,0,0,0,0,1,0,20240521,20240621
53790_U_738302,1,1,1,1,1,0,0,20240521,20240621
53974_D_879014,0,0,0,0,0,0,1,20240521,20240621
53974_S_942094,0,0,0,0,0,1,0,20240521,20240621
53974_U_1017865,1,1,1,1,1,0,0,20240521,20240621
54458_U_1013582,1,1,1,1,1,0,0,20240521,20240621
60439_D_839648,0,0,0,0,0,0,1,20240521,20240621
60439_S_939308,0,0,0,0,0,1,0,20240521,20240621
60439_U_837193,1,1,1,1,1,0,0,20240521,20240621
53795_D_869119,0,0,0,0,0,0,1,20240521,20240621
53795_S_945257,0,0,0,0,0,1,0,20240521,20240621
53795_U_1047117,1,1,1,1,1,0,0,20240521,20240621
53796_S_842434,0,0,0,0,0,1,0,20240521,20240621
53796_U_808405,1,1,1,1,1,0,0,20240521,20240621
53797_S_842440,0,0,0,0,0,1,0,20240521,20240621
53797_U_808407,1,1,1,1,1,0,0,20240521,20240621
54757_D_869124,0,0,0,0,0,0,1,20240521,20240621
54757_S_886097,0,0,0,0,0,1,0,20240521,20240621
54757_U_1047124,1,1,1,1,1,0,0,20240521,20240621
66563_D_803917,0,0,0,0,0,0,1,20240521,20240621
66563_S_939310,0,0,0,0,0,1,0,20240521,20240621
66563_U_1029557,1,1,1,1,1,0,0,20240521,20240621
53804_D_869128,0,0,0,0,0,0,1,20240521,20240621
53804_S_886094,0,0,0,0,0,1,0,20240521,20240621
53804_U_1047128,1,1,1,1,1,0,0,20240521,20240621
66562_D_869127,0,0,0,0,0,0,1,20240521,20240621
66562_S_886103,0,0,0,0,0,1,0,20240521,20240621
66562_U_1047127,1,1,1,1,1,0,0,20240521,20240621
54011_D_702432,0,0,0,0,0,0,1,20240521,20240621
54011_S_939306,0,0,0,0,0,1,0,20240521,20240621
54011_U_738305,1,1,1,1,1,0,0,20240521,20240621
54012_D_702433,0,0,0,0,0,0,1,20240521,20240621
54012_S_939307,0,0,0,0,0,1,0,20240521,20240621
